	name	encoding
14		[-0.136257603764534, 0.1433134377002716, 0.10258489847183228, -0.06051352620124817, -0.0027355626225471497, 0.04244586080312729, -0.02699335478246212, -0.02266175113618374, 0.22360579669475555, -0.059862252324819565, 0.29304039478302, 0.03006649576127529, -0.14375507831573486, -0.11392086744308472, 0.019159547984600067, 0.12830710411071777, -0.2417559027671814, 0.0009301900863647461, -0.06023181602358818, -0.11819813400506973, 0.0455872006714344, 0.08731655776500702, 0.06621921807527542, 0.0626593828201294, -0.17814818024635315, -0.36552754044532776, -0.07526834309101105, -0.12249859422445297, 0.08542034029960632, -0.0740271732211113, -0.05700165033340454, -0.04409213364124298, -0.2152327001094818, -0.07851029187440872, -0.043379344046115875, 0.007521729916334152, 0.02371298149228096, -0.06281287968158722, 0.12355324625968933, 0.0025372356176376343, -0.06937561184167862, 0.005287069361656904, 0.012813761830329895, 0.2561042010784149, 0.1666860282421112, 0.018005162477493286, 0.0032731927931308746, -0.018601130694150925, 0.09665574133396149, -0.2506203055381775, 0.11647506058216095, 0.06838949769735336, 0.050025880336761475, 0.050272051244974136, 0.05326166749000549, -0.12975482642650604, -0.0782172828912735, 0.12783007323741913, -0.16967302560806274, 0.07657317817211151, 0.0067260549403727055, 0.015432106330990791, -0.014303580857813358, -0.016419680789113045, 0.175845205783844, 0.18784749507904053, -0.12664858996868134, -0.1550397127866745, 0.030731722712516785, -0.08645253628492355, 0.035578593611717224, 0.04646562784910202, -0.09985489398241043, -0.17255951464176178, -0.3038733899593353, 0.12401676177978516, 0.40912753343582153, 0.1566729098558426, -0.18303154408931732, -0.0583534762263298, -0.18511469662189484, -0.02470403164625168, 0.09660932421684265, -0.0013792163226753473, -0.07695470750331879, -0.004861671477556229, -0.09728255867958069, 0.1241903230547905, 0.14129626750946045, 0.024833276867866516, -0.09709639847278595, 0.27640655636787415, -0.021555090323090553, 0.03842156380414963, -0.027853379026055336, 0.08261547237634659, -0.1374674290418625, 0.03462667390704155, -0.10600428283214569, 0.01683833822607994, 0.08177175372838974, 0.009864221327006817, 0.01901555247604847, 0.11690512299537659, -0.19071993231773376, 0.15126432478427887, 0.04730517044663429, -0.026003919541835785, 0.04809067025780678, 0.05618233233690262, -0.17881347239017487, -0.0404236875474453, 0.1441829353570938, -0.22573208808898926, 0.17571008205413818, 0.1489713340997696, 0.04317022114992142, 0.21843622624874115, 0.0771564468741417, 0.036686964333057404, -0.0025768140330910683, -0.029350806027650833, -0.07832466065883636, -0.014300929382443428, 0.06322554498910904, -0.017620699480175972, 0.10870033502578735, 0.02538236789405346]
15		[-0.17810499668121338, 0.13747000694274902, 0.09507305920124054, -0.049248989671468735, -0.009053202345967293, 0.013803187757730484, -0.007896419614553452, -0.021877054125070572, 0.24263514578342438, -0.08954934775829315, 0.2716750204563141, 0.03259226679801941, -0.20936338603496552, -0.08605840057134628, -0.07351396232843399, 0.10362405329942703, -0.20359982550144196, -0.010188968852162361, -0.07112600654363632, -0.08175047487020493, 0.06076845899224281, 0.08780736476182938, 0.06397628039121628, 0.05269133299589157, -0.1596141755580902, -0.343733549118042, -0.08035318553447723, -0.09494013339281082, 0.026103593409061432, -0.11083747446537018, -0.014897793531417847, -0.016764706000685692, -0.20406822860240936, -0.09875372052192688, -0.07713218778371811, 0.06228140741586685, -0.019206035882234573, -0.044958245009183884, 0.14199037849903107, 0.07701025903224945, -0.08169354498386383, 0.018455132842063904, -0.04614076763391495, 0.329733282327652, 0.16462135314941406, 0.012163801118731499, -0.02795393019914627, -0.047865111380815506, 0.09135641902685165, -0.27960965037345886, 0.076551653444767, 0.10594600439071655, 0.04734533280134201, 0.024171803146600723, 0.11405061185359955, -0.12860798835754395, -0.0447755791246891, 0.1622551530599594, -0.18432942032814026, 0.1033557876944542, -0.015175357460975647, -0.005987886339426041, 0.0031344573944807053, -0.04355116933584213, 0.155385360121727, 0.15809014439582825, -0.12719160318374634, -0.11387607455253601, 0.09943191707134247, -0.10980188101530075, 0.01714581809937954, 0.07498529553413391, -0.08137882500886917, -0.2265561819076538, -0.30084413290023804, 0.13430413603782654, 0.40103021264076233, 0.20904839038848877, -0.16057761013507843, -0.021456755697727203, -0.1267043650150299, -0.03082468919456005, 0.10238493978977203, 0.061307862401008606, -0.08790124952793121, 0.03247235342860222, -0.08404649794101715, 0.07680677622556686, 0.09002187848091125, 0.07788532227277756, -0.14210805296897888, 0.29516682028770447, -0.026774797588586807, 0.033604998141527176, 0.034036919474601746, 0.0029137548990547657, -0.13783465325832367, 0.010420441627502441, -0.15601709485054016, -0.0037841126322746277, 0.07093308120965958, -0.06742222607135773, -0.003369210986420512, 0.08642891049385071, -0.12034176290035248, 0.10555090010166168, 0.022625427693128586, -0.02672528475522995, 0.013980019837617874, 0.029317738488316536, -0.20366907119750977, 0.0023163012228906155, 0.17281457781791687, -0.2670801281929016, 0.20589758455753326, 0.15471848845481873, 0.03206907957792282, 0.20067505538463593, 0.14255253970623016, 0.017690910026431084, 0.01257244311273098, 0.002405928447842598, -0.07042551785707474, -0.029830295592546463, 0.06169472634792328, -0.03632310405373573, 0.13942445814609528, -0.0008967462927103043]
16		[-0.16347603499889374, 0.14256992936134338, 0.08536212891340256, -0.026639265939593315, -0.01884792372584343, 0.007850480265915394, 0.01223077718168497, -0.03879588097333908, 0.24863219261169434, -0.07016311585903168, 0.22709226608276367, 0.036626990884542465, -0.17607630789279938, -0.0772869810461998, -0.04185723513364792, 0.09159532189369202, -0.20348936319351196, -0.04666829854249954, -0.07023598998785019, -0.08914760500192642, 0.035143058747053146, 0.057025957852602005, 0.0429704450070858, 0.05308226868510246, -0.17665155231952667, -0.3265414237976074, -0.07122188806533813, -0.11572713404893875, 0.056483928114175797, -0.06883714348077774, -0.04594787210226059, -0.023830946534872055, -0.20034661889076233, -0.10111222416162491, -0.0646059662103653, 0.011413425207138062, 0.007383369375020266, -0.04449557512998581, 0.1397380232810974, 0.04454461857676506, -0.12498217821121216, 0.03290270268917084, -0.03405309468507767, 0.32689186930656433, 0.14983710646629333, 0.015175898559391499, -0.017362622544169426, -0.06760618090629578, 0.10917825996875763, -0.2355269342660904, 0.08681227266788483, 0.12967084348201752, 0.022167395800352097, 0.02300555631518364, 0.05596848577260971, -0.11111737787723541, -0.029089275747537613, 0.14173445105552673, -0.19700944423675537, 0.1066293865442276, 0.05687975883483887, -0.010937545448541641, 0.004384138621389866, -0.03528907895088196, 0.14266635477542877, 0.15387290716171265, -0.10396650433540344, -0.13727954030036926, 0.05903436243534088, -0.13640037178993225, 0.03948330134153366, 0.06644109636545181, -0.08695206791162491, -0.2137763649225235, -0.2912135720252991, 0.13375110924243927, 0.4120141565799713, 0.20877303183078766, -0.12925079464912415, -0.03541108965873718, -0.1746523082256317, -0.011392008513212204, 0.14080765843391418, 0.044677477329969406, -0.09366551041603088, -0.0038041258230805397, -0.09881747514009476, 0.07175906747579575, 0.1395542472600937, 0.06609486788511276, -0.1031922772526741, 0.2699696123600006, 0.0003206450492143631, -0.019244376569986343, -0.010035945102572441, 0.042400144040584564, -0.1612246334552765, 0.032170288264751434, -0.1173362284898758, 0.009105680510401726, 0.06941818445920944, -0.04776058346033096, 0.02779560536146164, 0.10861542820930481, -0.16560910642147064, 0.10255604237318039, 0.030065862461924553, -0.013003351166844368, 0.04965105652809143, 0.037761181592941284, -0.1641145497560501, -0.06163991242647171, 0.14336363971233368, -0.2246025949716568, 0.17933358252048492, 0.15204596519470215, 0.05889693275094032, 0.1832273155450821, 0.10083720088005066, 0.031316570937633514, -0.01949208229780197, -0.0023944368585944176, -0.07151428610086441, -0.008433246985077858, 0.0672239363193512, -0.02110481821000576, 0.12545213103294373, 0.003669202793389559]
17		[-0.1929466426372528, 0.11866947263479233, 0.06095677986741066, -0.0352507010102272, -0.004438566043972969, 0.008788502775132656, 0.07019626349210739, -0.027064096182584763, 0.2430873066186905, -0.03190550580620766, 0.24466511607170105, -0.00521223247051239, -0.19061076641082764, -0.06056588888168335, 0.04596179723739624, 0.10666964948177338, -0.2180333137512207, -0.04144097864627838, -0.10033868998289108, -0.13234885036945343, 0.07149966806173325, 0.02602207474410534, 0.00137822434771806, 0.08357306569814682, -0.13657371699810028, -0.37498345971107483, -0.04492790997028351, -0.12902571260929108, 0.0748518854379654, -0.032433412969112396, 0.015162155963480473, -0.017063332721590996, -0.2341896891593933, -0.055147312581539154, -0.07225649803876877, -0.035703662782907486, 0.026242125779390335, -0.03560398146510124, 0.13304975628852844, 0.017706390470266342, -0.11848370730876923, -0.03573305159807205, -0.02211974747478962, 0.2712348401546478, 0.14241446554660797, -0.0005418041255325079, 0.025595804676413536, -0.01121196337044239, 0.06581125408411026, -0.23372510075569153, 0.06903267651796341, 0.11901459097862244, 0.09099677950143814, 0.02368023619055748, 0.052748553454875946, -0.14048558473587036, -0.06645958125591278, 0.05851628631353378, -0.14916743338108063, 0.10596141219139099, 0.03782318904995918, -0.05923403799533844, -0.06630446016788483, -0.07502301782369614, 0.17060451209545135, 0.15282496809959412, -0.07884597033262253, -0.1592169553041458, 0.08132287859916687, -0.1127043068408966, 5.942583084106445e-05, 0.029286354780197144, -0.1224166601896286, -0.18559414148330688, -0.31039729714393616, 0.09229782968759537, 0.39005592465400696, 0.1452992707490921, -0.19399069249629974, -0.0012170812115073204, -0.20748762786388397, 0.03637911379337311, 0.1144602820277214, 0.037453025579452515, -0.058656636625528336, 0.009959297254681587, -0.08877475559711456, 0.0885293260216713, 0.14752529561519623, -0.0031966660171747208, -0.10551296919584274, 0.23268672823905945, -0.032743364572525024, -0.028469212353229523, -0.039052627980709076, -0.005788473412394524, -0.07897491008043289, 0.009931739419698715, -0.06546397507190704, -0.0062435101717710495, 0.07307446002960205, -0.02929535135626793, 0.018387697637081146, 0.059475842863321304, -0.24732346832752228, 0.13330599665641785, 0.055178988724946976, 0.008570010773837566, 0.04387621581554413, 0.05948970094323158, -0.15039005875587463, -0.024056194350123405, 0.14910875260829926, -0.2228492945432663, 0.22158460319042206, 0.18306612968444824, 0.013910985551774502, 0.19985921680927277, 0.017137771472334862, 0.050886087119579315, -0.021584555506706238, 0.016506943851709366, -0.09464690834283829, -0.0113240797072649, 0.05394876003265381, 0.006926113739609718, 0.053245097398757935, 0.029062660411000252]
18		[-0.10207197070121765, 0.11114617437124252, 0.07860780507326126, -0.03200286254286766, -0.055848315358161926, 0.01018904522061348, -0.005282353609800339, -0.04934260994195938, 0.2438046932220459, -0.05226706340909004, 0.2982735335826874, 0.02265223301947117, -0.18379001319408417, -0.10492884367704391, 0.0038030417636036873, 0.0813528448343277, -0.2349105328321457, -0.017757896333932877, -0.042595360428094864, -0.08465327322483063, 0.04808996245265007, 0.06450286507606506, 0.040829021483659744, 0.059988342225551605, -0.14382198452949524, -0.38304582238197327, -0.05957873538136482, -0.13565318286418915, 0.07807211577892303, -0.04894189536571503, 0.005305462051182985, 0.002495798282325268, -0.18338878452777863, -0.08764541894197464, -0.030087601393461227, -0.0007439553737640381, -0.01743362471461296, -0.07984347641468048, 0.17058458924293518, -0.018544167280197144, -0.13119089603424072, 0.021218236535787582, -0.014569474384188652, 0.2961481213569641, 0.13487210869789124, 0.003081846982240677, 0.0020662378519773483, -0.03669654205441475, 0.15813294053077698, -0.24420247972011566, 0.1164783462882042, 0.13502390682697296, 0.11303698271512985, 0.013204270973801613, 0.11380758881568909, -0.11864008009433746, -0.032261162996292114, 0.18886065483093262, -0.227763831615448, 0.10350251197814941, 0.03082764334976673, 0.00014240480959415436, 0.040438346564769745, -0.07412918657064438, 0.1677306741476059, 0.14942491054534912, -0.10843873023986816, -0.12414265424013138, 0.033909738063812256, -0.11934936791658401, -0.0012527857907116413, 0.09351629763841629, -0.12230440974235535, -0.23704460263252258, -0.29785779118537903, 0.10794058442115784, 0.40562042593955994, 0.18923519551753998, -0.18283461034297943, -0.05235744267702103, -0.1243022084236145, -0.027569063007831573, 0.1355324387550354, 0.039259470999240875, -0.05195675790309906, -0.04658609256148338, -0.10439040511846542, 0.04363956302404404, 0.15920814871788025, 0.027805402874946594, -0.10983171314001083, 0.2953428626060486, -0.019926216453313828, -0.022431623190641403, -0.03420558571815491, 0.006768685765564442, -0.11853313446044922, 0.03730388358235359, -0.08895021677017212, 0.0160793699324131, 0.05757460370659828, -0.04524518549442291, 0.0035549565218389034, 0.07049815356731415, -0.22497104108333588, 0.11979317665100098, 0.027633601799607277, 0.002013418823480606, 0.05920610576868057, -0.003486975561827421, -0.1498829424381256, -0.015622026287019253, 0.1747463047504425, -0.2878440022468567, 0.23273134231567383, 0.11925238370895386, 0.07043113559484482, 0.22341404855251312, 0.016833387315273285, 0.003726331517100334, -0.02299550175666809, -0.06949201226234436, -0.08726382255554199, -0.038228463381528854, 0.0651635155081749, -0.03622952103614807, 0.10688406229019165, -0.0035765264183282852]
19		[-0.02879449911415577, 0.07789547741413116, 0.05108492076396942, -0.06787998974323273, -0.09817317873239517, -0.056503117084503174, -0.06757442653179169, -0.07043763250112534, 0.18276745080947876, -0.13113810122013092, 0.20788408815860748, -0.020862817764282227, -0.2698172330856323, -0.009696892462670803, -0.02555798552930355, 0.19517287611961365, -0.1530085653066635, -0.045901939272880554, -0.15483815968036652, -0.10944024473428726, -0.039423681795597076, 0.03327975049614906, -0.01867689937353134, 0.039428871124982834, -0.09250681102275848, -0.26364490389823914, -0.08225954324007034, -0.05552821606397629, -0.005461623892188072, -0.09165477752685547, 0.035903431475162506, 0.10170600563287735, -0.11837968230247498, -0.03770490363240242, 0.02991020865738392, 0.019452018663287163, -0.12132614105939865, -0.1109415739774704, 0.17898628115653992, -0.03539223223924637, -0.1685052514076233, -0.044959843158721924, 0.03285824507474899, 0.26084840297698975, 0.20389977097511292, -0.03716348856687546, 0.04965972527861595, -0.09462233632802963, 0.1329842507839203, -0.328339159488678, -0.01123114675283432, 0.10596472769975662, 0.006847312208265066, 0.1201118603348732, 0.0727020651102066, -0.20622682571411133, 0.0513690747320652, 0.18942058086395264, -0.17623190581798553, 0.015217914246022701, 0.051954299211502075, -0.136936753988266, -0.1081530898809433, -0.059179626405239105, 0.21195387840270996, 0.10615698993206024, -0.14189238846302032, -0.20447281002998352, 0.16950127482414246, -0.17270159721374512, 0.008305863477289677, 0.10434766858816147, -0.10312704741954803, -0.2252659946680069, -0.2826306223869324, 0.08615579456090927, 0.3829570412635803, 0.169667586684227, -0.11605118215084076, 0.04397164285182953, -0.05561957508325577, -0.01940763182938099, 0.0370233952999115, 0.07065192610025406, -0.04524829983711243, -0.07513699680566788, -0.050972215831279755, 0.039116643369197845, 0.17495861649513245, -0.09389381110668182, 0.01087954267859459, 0.2418091893196106, 0.020349476486444473, -0.03305564448237419, -0.023915333673357964, 0.013629870489239693, -0.10443311184644699, 0.03938783332705498, -0.10906563699245453, 0.04969754442572594, 0.10208391398191452, -0.10708020627498627, 0.027826283127069473, 0.08252832293510437, -0.15502290427684784, 0.21086128056049347, -0.013269736431539059, -0.008139063604176044, 0.040126070380210876, -0.02626541256904602, -0.11859086900949478, -0.05190771818161011, 0.21775594353675842, -0.26874426007270813, 0.18309709429740906, 0.1847861409187317, 0.10053884983062744, 0.16626965999603271, 0.05901513248682022, 0.11298038065433502, 0.00721336342394352, -0.024127863347530365, -0.17012327909469604, -0.03182085603475571, 0.0574331097304821, -0.022749116644263268, -0.05132683739066124, 0.005597126204520464]
